clientid,name,Publisher taxonomyid,Publisher taxonomytext,globaltaxonomyid,Global taxonomytext,dist,,total:,673,,accurate:,423,,near:,123,,far:,127
303,OfficeDepot,3130761,Breakroom|Appliances|Cabinets & Storage,198572,Furniture|Cabinets & Storage,,,,,,,,,,,,,
303,OfficeDepot,3130762,Breakroom|Appliances|Cabinets & Storage|Cabinets & Storage,198572,Furniture|Cabinets & Storage,,,,,,,,,,,,,
303,OfficeDepot,3130152,"Technology|Software|Education, Language Learning & Reference Software|Children's Software",154787,Software|Computer Software|Children's Software,,,,,,,,,,,,,
303,OfficeDepot,3129659,Technology|Car & Outdoor|Radar Detectors,154613,Vehicles & Parts|Vehicle Parts & Accessories|Motor Vehicle Monitoring|Radar Detectors,,,,,,,,,,,,,
303,OfficeDepot,3129660,Technology|Car & Outdoor|Radar Detectors|Radar Detectors,154613,Vehicles & Parts|Vehicle Parts & Accessories|Motor Vehicle Monitoring|Radar Detectors,,,,,,,,,,,,,
303,OfficeDepot,3131767,Technology|Car & Outdoor|Car Video|Displays,154520,Vehicles & Parts|Vehicle Parts & Accessories|Car Audio & Video|Car Video|Car Video Monitors,far,,,,,,,,,,,,
303,OfficeDepot,3130832,Technology|Car & Outdoor|Portable DVD Players,154519,Vehicles & Parts|Vehicle Parts & Accessories|Car Audio & Video|Car Video|Car DVD Players,,,,,,,,,,,,,
303,OfficeDepot,3130833,Technology|Car & Outdoor|Portable DVD Players|Portable DVD Players,154519,Vehicles & Parts|Vehicle Parts & Accessories|Car Audio & Video|Car Video|Car DVD Players,,,,,,,,,,,,,
303,OfficeDepot,3131766,Technology|Car & Outdoor|Car Video,154518,Vehicles & Parts|Vehicle Parts & Accessories|Car Audio & Video|Car Video,,,,,,,,,,,,,
303,OfficeDepot,3131315,Technology|Car & Outdoor|Car Audio|Speakers,154514,Vehicles & Parts|Vehicle Parts & Accessories|Car Audio & Video|Car Audio|Car Speakers,,,,,,,,,,,,,
303,OfficeDepot,3129656,Technology|Audio|Car Audio|Equalizers,154512,Vehicles & Parts|Vehicle Parts & Accessories|Car Audio & Video|Car Audio|Car Equalizers & Crossovers,,,,,,,,,,,,,
303,OfficeDepot,3129658,Technology|Car & Outdoor|Car Audio|Equalizers,154512,Vehicles & Parts|Vehicle Parts & Accessories|Car Audio & Video|Car Audio|Car Equalizers & Crossovers,,,,,,,,,,,,,
303,OfficeDepot,3131895,Technology|Car & Outdoor|Car Audio|Amplifiers,154507,Vehicles & Parts|Vehicle Parts & Accessories|Car Audio & Video|Car Audio|Car Amplifiers,,,,,,,,,,,,,
303,OfficeDepot,3129655,Technology|Audio|Car Audio,154505,Vehicles & Parts|Vehicle Parts & Accessories|Car Audio & Video|Car Audio,,,,,,,,,,,,,
303,OfficeDepot,3130845,Technology|Car & Outdoor|Car Audio,154505,Vehicles & Parts|Vehicle Parts & Accessories|Car Audio & Video|Car Audio,,,,,,,,,,,,,
