[71, ['303', '3130253', 'Breakroom'], ['151089', 'Cameras & Optics|Photography|Darkroom']]

[68, ['303', '3130253', 'Breakroom'], ['150280', 'Apparel & Accessories|Clothing|Underwear & Socks|Bras']]

[67, ['303', '3130253', 'Breakroom'], ['152839', 'Home & Garden|Household Supplies|Household Cleaning Supplies|Brooms']]

[63, ['303', '3130253', 'Breakroom'], ['150994', 'Business & Industrial|Science & Laboratory|Laboratory Supplies|Beakers']]

[60, ['303', '3130253', 'Breakroom'], ['198567', 'Furniture|Cabinets & Storage|Vanities|Bedroom Vanities']]

[60, ['303', '3130253', 'Breakroom'], ['153990', 'Sporting Goods|Outdoor Recreation|Equestrian|Horse Supplies|Horse Grooming']]

[60, ['303', '3130253', 'Breakroom'], ['153937', 'Sporting Goods|Outdoor Recreation|Cycling|Bicycle Parts|Bicycle Brake Parts|Bicycle Brake Rotors']]
[60, ['303', '3130253', 'Breakroom'], ['153066', 'Home & Garden|Kitchen & Dining|Kitchen Appliances|Breadmakers']]

[60, ['303', '3130253', 'Breakroom'], ['152633', 'Home & Garden|Bathroom Accessories']]

[60, ['303', '3130253', 'Breakroom'], ['152115', 'Hardware|Plumbing|Plumbing Fixtures|Sinks|Bathroom Sinks']]

[60, ['303', '3130253', 'Breakroom'], ['151934', 'Furniture|Vanities|Bathroom Vanities']]

[60, ['303', '3130253', 'Breakroom'], ['151859', 'Furniture|Bedroom Furniture']]

[60, ['303', '3130253', 'Breakroom'], ['151659', 'Food, Beverages & Tobacco|Food Items|Bakery']]

[60, ['303', '3130253', 'Breakroom'], ['151409', 'Electronics|Electronics Accessories|Memory|ROM']]

[60, ['303', '3130253', 'Breakroom'], ['151408', 'Electronics|Electronics Accessories|Memory|RAM']]

[60, ['303', '3130253', 'Breakroom'], ['151099', 'Cameras & Optics|Photography|Darkroom|Enlarging Equipment|Darkroom Timers']]

[60, ['303', '3130253', 'Breakroom'], ['151098', 'Cameras & Optics|Photography|Darkroom|Enlarging Equipment|Darkroom Easels']]

[60, ['303', '3130253', 'Breakroom'], ['151092', 'Cameras & Optics|Photography|Darkroom|Developing & Processing Equipment|Darkroom Sinks']]
[57, ['303', '3130253', 'Breakroom'], ['151751', 'Food, Beverages & Tobacco|Food Items|Dairy Products|Cream']]

[57, ['303', '3130253', 'Breakroom'], ['151716', 'Food, Beverages & Tobacco|Food Items|Cooking & Baking Ingredients|Bread Crumbs']]

[54, ['303', '3130253', 'Breakroom'], ['153291', 'Home & Garden|Lawn & Garden|Gardening|Gardening Tools|Rakes']]

[54, ['303', '3130253', 'Breakroom'], ['150748', 'Arts & Entertainment|Hobbies & Creative Arts|Musical Instruments|Brass']]

[54, ['303', '3130253', 'Breakroom'], ['150544', 'Arts & Entertainment|Hobbies & Creative Arts|Crafts & Hobbies|Jewelry Making|Beads']]

[53, ['303', '3130253', 'Breakroom'], ['152299', 'Hardware|Tools|Measuring Tools & Sensors|Barometers']]

[53, ['303', '3130253', 'Breakroom'], ['151881', 'Furniture|Chairs|Bar Stools']]

