clientid,name,Publisher taxonomyid,Publisher taxonomytext,globaltaxonomyid,Global taxonomytext
297,TheEntertainer,3126062,action toys figures|action figures,154424,"Toys & Games|Toys|Dolls, Playsets & Toy Figures|Action Figures"
297,TheEntertainer,3126061,action toys figures|action vehicles,154452,Toys & Games|Toys|Play Vehicles
297,TheEntertainer,3126060,action toys figures|battling toys,154423,"Toys & Games|Toys|Dolls, Playsets & Toy Figures"
297,TheEntertainer,3126059,action toys figures|blaster water pistols,154496,Toys & Games|Toys|Toy Weapons|Water Guns
297,TheEntertainer,3126058,action toys figures|blaster water pistols|dart refills,154495,Toys & Games|Toys|Toy Weapons
297,TheEntertainer,3126057,action toys figures|dress up roleplay,154469,Toys & Games|Toys|Pretend Play|Pretend Professions & Role Playing
297,TheEntertainer,3126056,action toys figures|playsets,154433,"Toys & Games|Toys|Dolls, Playsets & Toy Figures|Playsets"
297,TheEntertainer,3126055,all reductions|20 percent off,-11,Unmapped SKUs|All|Sales/Specials/Deals
297,TheEntertainer,3126054,all reductions|25 percent off,-11,Unmapped SKUs|All|Sales/Specials/Deals
297,TheEntertainer,3126053,all reductions|33 percent off,-11,Unmapped SKUs|All|Sales/Specials/Deals
297,TheEntertainer,3126052,all reductions|50 percent off,-11,Unmapped SKUs|All|Sales/Specials/Deals
297,TheEntertainer,3126051,all reductions|save 10,-11,Unmapped SKUs|All|Sales/Specials/Deals
297,TheEntertainer,3126050,all reductions|save 15,-11,Unmapped SKUs|All|Sales/Specials/Deals
297,TheEntertainer,3126049,all reductions|save 20,-11,Unmapped SKUs|All|Sales/Specials/Deals
297,TheEntertainer,3126048,all reductions|save 5,-11,Unmapped SKUs|All|Sales/Specials/Deals
297,TheEntertainer,3126047,arts creative play|3d modelling,150552,Arts & Entertainment|Hobbies & Creative Arts|Crafts & Hobbies|Pottery & Sculpting
297,TheEntertainer,3126046,arts creative play|arts food drink,154410,Toys & Games|Toys|Art & Drawing Toys
297,TheEntertainer,3126045,arts creative play|arts tv and film,154410,Toys & Games|Toys|Art & Drawing Toys
297,TheEntertainer,3126044,arts creative play|books,153484,Media|Books
297,TheEntertainer,3126012,arts creative play|craft sets,154411,Toys & Games|Toys|Art & Drawing Toys|Toy Craft Kits
297,TheEntertainer,3126013,arts creative play|craft sets|beads,150544,Arts & Entertainment|Hobbies & Creative Arts|Crafts & Hobbies|Jewelry Making|Beads
297,TheEntertainer,3126014,arts creative play|craft sets|beads|bead refills,150544,Arts & Entertainment|Hobbies & Creative Arts|Crafts & Hobbies|Jewelry Making|Beads
297,TheEntertainer,3126015,arts creative play|craft sets|beads|bead sets,150544,Arts & Entertainment|Hobbies & Creative Arts|Crafts & Hobbies|Jewelry Making|Beads
297,TheEntertainer,3126016,arts creative play|craft sets|stickers,150513,Arts & Entertainment|Hobbies & Creative Arts|Crafts & Hobbies|Decorative Stickers
297,TheEntertainer,3126207,arts creative play|dough modelling,150552,Arts & Entertainment|Hobbies & Creative Arts|Crafts & Hobbies|Pottery & Sculpting
297,TheEntertainer,3126017,arts creative play|dough modelling|dough modelling,150553,Arts & Entertainment|Hobbies & Creative Arts|Crafts & Hobbies|Pottery & Sculpting|Modeling Clay & Dough
297,TheEntertainer,3126018,arts creative play|dough modelling|sand modelling,150553,Arts & Entertainment|Hobbies & Creative Arts|Crafts & Hobbies|Pottery & Sculpting|Modeling Clay & Dough
297,TheEntertainer,3126019,arts creative play|drawing painting,150514,Arts & Entertainment|Hobbies & Creative Arts|Crafts & Hobbies|Drawing & Painting
297,TheEntertainer,3126020,arts creative play|drawing painting|drawing sets,150536,Arts & Entertainment|Hobbies & Creative Arts|Crafts & Hobbies|Drawing & Painting Kits
297,TheEntertainer,3126021,arts creative play|drawing painting|painting sets,150536,Arts & Entertainment|Hobbies & Creative Arts|Crafts & Hobbies|Drawing & Painting Kits
297,TheEntertainer,3126022,arts creative play|drawing painting|stationery,153603,Office Supplies|General Supplies|Paper Products|Stationery
297,TheEntertainer,3126023,arts creative play|dress up,154469,Toys & Games|Toys|Pretend Play|Pretend Professions & Role Playing
297,TheEntertainer,3126024,arts creative play|dress up|dress up costumes,150379,Apparel & Accessories|Costumes & Accessories|Costumes
297,TheEntertainer,3126025,arts creative play|dress up|dress up masks hats,150375,Apparel & Accessories|Costumes & Accessories|Costume Accessories
297,TheEntertainer,3126026,arts creative play|dress up|face paint,150375,Apparel & Accessories|Costumes & Accessories|Costume Accessories
297,TheEntertainer,3126027,arts creative play|easels,150516,Arts & Entertainment|Hobbies & Creative Arts|Crafts & Hobbies|Drawing & Painting|Art Easels
297,TheEntertainer,3126028,arts creative play|fashion jewellery,150390,Apparel & Accessories|Jewelry
297,TheEntertainer,3126029,arts creative play|fashion jewellery|fashion,150153,Apparel & Accessories|Clothing
297,TheEntertainer,3126030,arts creative play|fashion jewellery|jewellery,150390,Apparel & Accessories|Jewelry
297,TheEntertainer,3126031,arts creative play|fashion jewellery|make up,152512,Health & Beauty|Personal Care|Cosmetics|Makeup
297,TheEntertainer,3126032,arts creative play|fashion jewellery|tattoo kits,150824,Arts & Entertainment|Party & Celebration|Party Supplies|Temporary Tattoos
297,TheEntertainer,3126033,arts creative play|loom kits,150574,Arts & Entertainment|Hobbies & Creative Arts|Crafts & Hobbies|Sewing & Needlecrafts|Weaving|Weaving Looms
297,TheEntertainer,3126034,arts creative play|loom kits|loom band accessories,150573,Arts & Entertainment|Hobbies & Creative Arts|Crafts & Hobbies|Sewing & Needlecrafts|Weaving
297,TheEntertainer,3126035,arts creative play|loom kits|loom band accessories|loom band refills,150573,Arts & Entertainment|Hobbies & Creative Arts|Crafts & Hobbies|Sewing & Needlecrafts|Weaving
297,TheEntertainer,3126036,arts creative play|loom kits|loom band accessories|loom band storage cases,150573,Arts & Entertainment|Hobbies & Creative Arts|Crafts & Hobbies|Sewing & Needlecrafts|Weaving
297,TheEntertainer,3126037,arts creative play|loom kits|loom band accessories|scented loom bands,150573,Arts & Entertainment|Hobbies & Creative Arts|Crafts & Hobbies|Sewing & Needlecrafts|Weaving
297,TheEntertainer,3126038,arts creative play|loom kits|loom bracelet makers,150543,Arts & Entertainment|Hobbies & Creative Arts|Crafts & Hobbies|Jewelry Making
297,TheEntertainer,3126039,arts creative play|model kits,150557,Arts & Entertainment|Hobbies & Creative Arts|Crafts & Hobbies|Scale Models|Model Kits
297,TheEntertainer,3126040,arts creative play|musical toys,154450,Toys & Games|Toys|Musical Toys
297,TheEntertainer,3126041,baby pre school|0 6 months,150843,Baby & Toddler|Baby Toys
297,TheEntertainer,3126042,baby pre school|1 2 years,150843,Baby & Toddler|Baby Toys
297,TheEntertainer,3126043,baby pre school|2 3 years,150843,Baby & Toddler|Baby Toys
297,TheEntertainer,3126064,baby pre school|3 4 years,150843,Baby & Toddler|Baby Toys
297,TheEntertainer,3126065,baby pre school|4 5 years,150843,Baby & Toddler|Baby Toys
297,TheEntertainer,3126066,baby pre school|6 12 months,150843,Baby & Toddler|Baby Toys
297,TheEntertainer,3126067,baby pre school|activity toys,154401,Toys & Games|Toys|Activity Toys
297,TheEntertainer,3126068,baby pre school|activity toys|shape sorter stacking,150853,Baby & Toddler|Baby Toys|Sorting & Stacking Toys
297,TheEntertainer,3126069,baby pre school|bath toys,154414,Toys & Games|Toys|Bath Toys
297,TheEntertainer,3126070,baby pre school|cots travel toys,150843,Baby & Toddler|Baby Toys
297,TheEntertainer,3126071,baby pre school|electronic learning,154441,Toys & Games|Toys|Electronic Toys
297,TheEntertainer,3126072,baby pre school|newborn baby,150843,Baby & Toddler|Baby Toys
297,TheEntertainer,3126073,baby pre school|pre school construction,154418,Toys & Games|Toys|Building Toys|Construction Set Toys
297,TheEntertainer,3126074,baby pre school|pre school film tv characters,154423,"Toys & Games|Toys|Dolls, Playsets & Toy Figures"
297,TheEntertainer,3126075,baby pre school|pre school soft toys,154435,"Toys & Games|Toys|Dolls, Playsets & Toy Figures|Stuffed Toys"
297,TheEntertainer,3126076,baby pre school|pre school soft toys|interactive soft toys,154435,"Toys & Games|Toys|Dolls, Playsets & Toy Figures|Stuffed Toys"
297,TheEntertainer,3126077,baby pre school|pre school vehicles,154452,Toys & Games|Toys|Play Vehicles
297,TheEntertainer,3126078,baby pre school|pretend play dress up,154464,Toys & Games|Toys|Pretend Play
297,TheEntertainer,3126079,baby pre school|pretend play dress up|kitchens home,154470,Toys & Games|Toys|Pretend Play|Toy Kitchens & Play Food
297,TheEntertainer,3126080,baby pre school|pretend play dress up|kitchens home|play food,154470,Toys & Games|Toys|Pretend Play|Toy Kitchens & Play Food
297,TheEntertainer,3126081,baby pre school|pretend play dress up|kitchens home|tea sets,154470,Toys & Games|Toys|Pretend Play|Toy Kitchens & Play Food
297,TheEntertainer,3126082,baby pre school|pretend play dress up|play shop,154469,Toys & Games|Toys|Pretend Play|Pretend Professions & Role Playing
297,TheEntertainer,3126083,baby pre school|pretend play dress up|pre school dress up,154469,Toys & Games|Toys|Pretend Play|Pretend Professions & Role Playing
297,TheEntertainer,3126084,baby pre school|pretend play dress up|pre school dress up|pre school dress up costumes,150379,Apparel & Accessories|Costumes & Accessories|Costumes
